片名,放映场数,人数,电影票房,类型,上映年份,上映月份,上映周数,宣发方,时长,是否改编,是否真人真事,是否翻拍,是否续集,导演,导演年代,第几部作品,导演得奖情况,导演是否转型,主演1,baidu index1,主演2,baidu index2
新天生一对,72.57,165.52,5274.6,家庭伦理,2012,1,5,C,100,S,0,1,0,朱延平,50,62,1,0,周渝民,3719,陈嘉桦,903
大笑江湖,154.37,486.62,15392.82,喜剧,2010,12,49,S,119,S,0,0,0,朱延平,50,60,1,0,小沈阳,10215,赵本山,16746
我爱灰太狼,112.53,227.24,7130.16,动画,2012,8,33,C,87,S,0,0,0,朱枫,60,5,0,0,赵娜,335,张琳,891
西游降魔篇,730.23,3107.04,124643.87,魔幻,2013,2,6,S,110,N,0,0,0,周星驰,60,9,1,1,文章,30326,舒淇,10322
大追捕,99.48,153.19,4814.32,警匪,2012,3,12,C,107,S,0,0,0,周显扬,70,2,0,0,张家辉,4147,任达华,3955
天台爱情,178.97,372.58,12001.3,爱情,2013,7,28,L,117,S,0,0,0,周杰伦,70,3,0,1,周杰伦,40502,李心艾,1047
龙凤店,42.96,95.85,2962.67,喜剧,2010,8,34,G,110,S,0,0,0,钟澍佳,60,7,0,0,任贤齐,6385,徐熙媛,2134
嘻游记,46.39,114.83,3034.19,喜剧,2010,7,27,C,105,S,0,0,0,钟少雄,60,28,0,0,黄奕,5317,徐峥,3770
孤岛惊魂2,39.6,55.84,1678.76,惊悚,2013,1,4,L,93,S,0,0,1,钟继昌,60,5,1,0,邓家佳,3088,陈志朋,1955
孤岛惊魂,114.03,291.61,8941.84,惊悚,2011,7,28,L,100,S,0,0,0,钟继昌,60,4,1,0,陈小春,6875,杨幂,84936
恐怖旅馆,36.35,48.62,1442.6,惊悚,2012,8,34,C,95,S,0,0,0,郑来志,70,3,0,0,陈司翰,585,贡米,1689
车手,56.4,92.04,2876.68,警匪,2012,6,26,L,89,S,0,0,0,郑保瑞,70,13,1,0,黄秋生,2513,余文乐,3655
枕边有张脸,75.5,81.97,2364.94,惊悚,2013,6,24,L,96,S,0,0,0,赵小溪,80,2,0,0,吴其江,191,赵仕瑾,111
致我们终将逝去的青春,588.12,2247.03,71901.52,爱情,2013,4,17,S,132,N,0,0,0,赵薇,70,1,1,1,杨子珊,1828,赵又廷,8505
铜雀台,159.97,319.55,10345.47,历史剧情,2012,9,40,C,107,N,0,0,0,赵林山,70,1,0,0,周润发,11814,刘亦菲,36026
喜羊羊与灰太狼之兔年顶呱呱,152.15,463.13,14218.55,动画,2011,1,4,C,88,S,0,1,1,赵崇邦,70,3,1,0,祖丽晴,283,张琳,892
喜羊羊与灰太狼之虎虎生威,109.7,442.23,12750.3,动画,2010,1,5,L,88,S,0,1,1,赵崇邦,70,2,0,0,王祖蓝,6231,谢天华,3446
肩上蝶,29.52,39.89,1292.96,爱情,2011,7,28,L,122,S,0,0,0,张之亮,50,16,1,0,陈坤,6332,梁咏琪,2680
忠诚与背叛,13.16,71.5,1820.7,主旋律,2012,5,22,G,92,S,1,0,0,张玉中,60,9,0,0,刘之冰,492,徐箭,172
金陵十三钗,360.46,1477,60948,历史剧情,2011,12,52,C,145,N,1,0,0,张艺谋,50,26,1,0,倪妮,8356,张歆怡,337
山楂树之恋,155.08,445.03,14661.79,爱情,2010,9,38,S,115,N,1,0,0,张艺谋,50,25,1,0,周冬雨,8279,窦骁,1647
越来越好之村晚,58.45,92.99,3002.54,喜剧,2013,2,6,C,100,S,0,0,0,张一白、谢东燊,60,10,1,0,郭富城,7367,王宝强,6004
将爱情进行到底,206.39,561.11,19635.4,爱情,2011,2,7,S,105,S,0,1,0,张一白,60,9,1,0,李亚鹏,4155,徐静蕾,4105
无人驾驶,31.87,59.21,1886.95,爱情,2010,7,27,C,105,S,0,0,0,张杨,60,7,1,1,刘烨,5534,高圆圆,22690
Hold住爱,75.53,136.67,4424.28,爱情,2012,8,35,S,95,S,0,0,0,张琦,70,4,0,0,杨幂,84936,刘恺威,22211
夺命心跳,28.46,51.6,1655.78,惊悚,2011,7,27,L,90,S,0,0,0,张琦,70,1,0,0,梁家辉,2638,林熙蕾,3185
辛亥革命,102.84,411.36,10275,主旋律,2011,9,39,G,100,S,1,0,0,张黎 成龙,50,11,1,0,赵文瑄,1115,成龙,21802
午夜心跳,44.91,102.71,3164.37,惊悚,2010,12,52,C,100,S,0,0,0,张加贝,70,6,0,0,任达华,3954,吴镇宇,4476
密室之不可靠岸,48.15,58.55,1774.2,惊悚,2011,10,44,L,98,S,0,0,1,张番番,70,4,0,0,苏有朋,7754,杨坤,6180
密室之不可告人,48.27,85.06,2467.85,惊悚,2010,10,44,L,95,S,0,0,0,张番番,70,3,0,0,苏有朋,7752,吴佩慈,3198
长江七号爱地球,45.89,76.72,2042.25,儿童,2010,7,28,G,90,S,0,0,1,袁建滔,70,4,0,0,石班瑜,588,徐娇,4295
苏乞儿,54.12,153.32,5127.52,动作,2010,2,7,C,115,S,1,1,0,袁和平,40,25,1,1,赵文卓,6083,周迅,6495
洛克王国  圣龙的心愿,126.1,243.12,6973.18,动画,2013,1,5,C,89,S,0,0,1,于胜军,70,2,0,0,李佳怡,0,山新,0
洛克王国 圣龙骑士,52.44,123.37,3370.52,动画,2011,9,40,L,89,S,0,0,1,于胜军,70,1,0,0,李佳怡,176,山新,810
忠烈杨家将,108.51,194.46,6171.58,动作,2013,4,14,S,120,S,0,1,0,于仁泰,50,20,1,0,郑伊健,5948,林峰,13458
雨中的树,17.97,93.18,2410.93,主旋律,2012,9,39,G,106,S,1,0,0,尹力,50,9,1,0,王志飞,2366,丁柳元,467
倩女幽魂,187.29,413.94,14028.67,魔幻,2011,4,17,G,98,S,0,1,0,叶伟信,60,22,1,0,古天乐,9501,刘亦菲,36026
开心魔法,44.1,69.43,2120.85,喜剧,2011,12,49,G,99,S,0,0,0,叶伟信,60,21,1,0,吴尊,11356,黄百鸣,1243
叶问2宗师传奇,200.08,706.16,23403.87,动作,2010,4,18,G,108,S,1,0,1,叶伟信,60,19,1,0,甄子丹,9630,洪金宝,4762
