时间,当月新增贷款,房地产开发投资额,某产品销量
200801,8058,1186.86045,232.3790008
200802,2434,1186.86045,205.121915
200803,2834,2314.0285,628.0326425
200804,4690,2264.3263,787.6071356
200805,3185,2567.2021,757.0171729
200806,3324,3676.3876,784.3149877
200807,3818,2687.8702,532.0244355
200808,2715,2546.4336,590.74106
200809,3745,2847.7212,673.3312706
200810,1819,2640.0146,592.0726307
200811,4775,2628.0296,755.8273612
200812,7645,4034.0838,805.5432949
200901,16177,1199.075,573.3454456
200902,10715,1199.075,831.2490601
200903,18920,2482.1446,1233.653112
200904,5918,2409.6861,1166.243971
200905,6669,2777.2393,1003.879973
200906,15304,4228.19,1065
200907,3691,3096.89,746.8433571
200908,4104,3348.64,749.0994594
200909,5167,3819.06,824.1814121
200910,2530,3326.58,754.7847375
200911,2948,3384.3448,929.8790244
200912,3800,4960.7867,882.4539648
201001,13934,1571.82175,585
201002,6999,1571.82175,577.6460854
201003,5107,3450.8041,1174.893612
201004,7740,3337.6042,1370.839159
201005,6493,3985.3629,1284.494064
201006,6027,5829.7035,1127.996011
201007,5327,4117.6545,754.7847375
201008,5446,4490.2725,908.7078739
201009,6004,5156.2054,731.0095759
201010,5877,4558.2679,717.0251042
201011,5689,4627.8142,625
201012,4807,5569.7389,665.7702306
