"name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","playlists","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些"
"- Dance with me.","MONSTER-CAT6",1393545600,"<b>介绍：</b>欧美流行舞曲。<br>",248047,2134,39,52,"[""欧美"",""驾车"",""舞曲""]",5974,22,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"- Russian","LavidaLoca_z",1404691200,"<b>介绍：</b>边听边学俄语.<br>",69769,1464,13,15,"[""小语种"",""午休"",""流行""]",17163,128,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"-夜-車-歌-","玛丽锁链是耶稣",1463529600,"<b>介绍：</b>今天我感到非常烦闷<br>我想念你<br>我想起夜幕降临的时候<br>和你踏着星光走去<br>想起了灯光照着树叶的时候<br>踏着婆娑的灯影走去<br>想起了欲语又塞的时候<br>和你在一起<br><br>你是我的战友<br>因此我想念你<br>当我跨过沉沦的一切<br>向着永恒开战的时候<br>你是我的军旗<br><br>- -王小波《爱你就像爱生命》<br><br>此单适合挤地铁时听，适合看车窗外呼啸而过的夜景，适合独处，适合隔绝世界和人群，适合享受孤独并沉湎于此。<br><br>歌单风格：<br>shoe gazing 、Brit pop、Dream-pop、Indie Rock 、Indie Electronic 、Alternative Rock 、Indie pop 、Synth pop、Lo-Fi、Glam Rock、Post Punk<br><br>封面图来自摄影师Louis Hvejsel Bork | 夜色迷离<br>",311920,10256,216,201,"[""夜晚"",""另类/独立"",""英伦""]",8237,51,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"：GOD'S DEATH 888【T% RAP】","YOUNG-RICH-WORLD-PEACE",1421798400,"<b>介绍：</b>此歌单非常的躁动与迷幻 备 ：Rap Music 和 Trap Music 将会带你进入一个不一样的音乐世界<br>",250759,3815,65,60,"[""欧美"",""流行"",""说唱""]",277,8,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"??节奏狂??","-Fat1me",1484006400,"<b>介绍：</b>节奏感十足 *<br>",53208,350,11,9,"[""欧美"",""雷鬼""]",1595,25,"否","否","否","否","否","否","是","否","否","否","否","否","否","否","否"
".孤独患者的深海【一】","-单衣试酒-",1443052800,"<b>介绍：</b>本歌单第二辑已整理完成。喜欢这种风格的朋友们也可以去【纯音|孤独患者的深海二】试听一下~熟悉的味道，同样的选择。 <br><br>请送我一朵深海玫瑰，从此便沉入寂静的岁月。 请吻我以清晨的露水，扬起手挥别昨日再梦回。 <br>今天看到建安文学的时候忽然是如此思索，正因为风衰俗怨，战乱流离，建安的文人格外悲叹生命的短促，离愁别绪都显得气度小了，和更广阔的生死、战争、帝国相比，临高峰而望，旌旗千里，古有楚臣去境，汉妾辞宫，或负戈外戍，杀气雄边。和苍茫的天地时空一比，人也就不知不觉惶恐了起来，仿佛那吹过白骨朔蓬金戈铁马的风又裹着着笛音风沙吹到手边，便忽然明白了千年前的人如是说到，人生天壤间，忽如飞鸟栖孤枝。 <br>悲凉而慷慨，惜已成了书上粗糙的记载，都老了，抹上了风沙的锈迹。 <br><br>然而孤独竟如此不可避免了么。今日必有一渺小谢如我渐行渐远，他日原地也必迎来一相似的孩童，生命于是轮换不息，一切都将流传，不会死去的只有时间和文字。踽踽于这人世，又怎么会惧怕生死疲劳。<br>",478689,11875,193,202,"[""孤独"",""轻音乐"",""钢琴""]",865,22,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"·?摇摆摇摆回响(dub)雷鬼(reggae)斯卡(ska","兔叔与六鞭尸",1412208000,"<b>介绍：</b>(Reggae)Swing swing swing,wolalalalala.....<br>",51713,1011,20,10,"[""雷鬼"",""世界音乐"",""拉丁""]",4350,118,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"·老司机永不翻车·","Miirzat",1433808000,"<b>介绍：</b>歌单每天都更新。<br>",284489,3429,48,23,"[""欧美"",""摇滚"",""驾车""]",711,27,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"“对不起，我是活在二次元的女孩……”","我眼睛会发光i",1455494400,"<b>介绍：</b>『ACG女毒精选』世上最远的距离，无非是我对着屏幕上的你伸出手，你却强忍着哭泣说：“对不起，我是活在二次元的女孩……”<br>在每个喜欢着二次元的人心中，都有着那份属于自己来自二次元的感动吧<br>",5244,145,13,7,"[""日语"",""ACG"",""治愈""]",10674,34,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
"(≧?≦)你们还有二胡版？！","浜野澄瞳",1400976000,"<b>介绍：</b>各种熟悉的歌，用二胡演奏！体会不同的韵味！<br>",32288,800,25,34,"[""民族"",""器乐"",""轻音乐""]",1555,15,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否"
